case_id,created_at,case_summary,channel,case_type,category,plan_tier,customer_tenure_months
ND-2025-001258,2025-07-16 08:25:15+00:00,Xero Connector outage is critical for board reporting.,email,incident,integrations,Enterprise,40
ND-2025-000723,2025-04-17 08:50:00+00:00,Payment failed retry please,in_app,incident,billing_payments,Pro,15
ND-2025-001731,2025-09-22 11:35:20+00:00,Query about pricing for the next tier,phone,service_request,billing_payments,Standard,3
ND-2025-001290,2025-07-24 09:00:10+00:00,Xero Connector outage causing big issues.,email,incident,integrations,Enterprise,46
ND-2025-001477,2025-08-26 11:40:00+00:00,Safari browser showing blank page on login.,email,incident,bug,Pro,19
ND-2025-000657,2025-04-18 10:55:00+00:00,Nobody can log in via Orbit ID right now,in_app,incident,performance_outage,Enterprise,50
ND-2025-000909,2025-05-21 11:15:55+00:00,"Connector not syncing, need steps.",email,service_request,how_to_training,Standard,5
ND-2025-001330,2025-07-10 14:40:00+00:00,500 error on report load.,webchat,incident,performance_outage,Pro,28
ND-2025-002256,2025-12-19 11:40:11+00:00,Link to help center gives 404.,in_app,incident,bug,Pro,12
ND-2025-001829,2025-10-08 11:00:55+00:00,Can we whitelist our office IP range for Orbit ID access?,email,service_request,security_privacy,Enterprise,42
ND-2025-001676,2025-09-19 10:30:25+00:00,Best practice for naming Connectors?,email,service_request,how_to_training,Standard,7
ND-2025-001509,2025-08-17 12:45:00+00:00,Setup guide for Xero connector?,email,service_request,how_to_training,Standard,1
ND-2025-000029,2025-01-10 14:50:45+00:00,App crashes when viewing large charts on iPhone,webchat,incident,bug,Pro,8
ND-2025-001671,2025-09-18 09:10:30+00:00,Question about data retention policies for GDPR,email,service_request,account_admin,Enterprise,50
ND-2025-000485,2025-03-16 12:30:50+00:00,VAT receipt needed,email,service_request,billing_payments,Pro,18
ND-2025-002216,2025-12-08 09:15:12+00:00,Invoice amount doesn't match the agreed renewal price.,email,service_request,billing_payments,Pro,15
ND-2025-002224,2025-12-11 09:00:05+00:00,Polaris boards are loading very slowly this morning.,in_app,incident,performance_outage,Pro,28
ND-2025-000711,2025-04-05 10:00:00+00:00,Dashboard very slow,email,incident,performance_outage,Enterprise,35
ND-2025-000558,2025-03-31 09:00:15+00:00,Payment failed on account,email,incident,billing_payments,Enterprise,26
ND-2025-001865,2025-10-21 08:30:25+00:00,hello??,webchat,service_request,other,Free,0
ND-2025-001064,2025-06-20 11:35:40+00:00,Password reset email not arriving,email,incident,access_permissions,Enterprise,30
ND-2025-000164,2025-01-15 13:50:30+00:00,Onboarding docs?,email,service_request,how_to_training,Standard,1
ND-2025-001224,2025-07-07 09:05:40+00:00,Xero Connector is down again this is ridiculous.,phone,incident,integrations,Pro,35
ND-2025-001305,2025-07-28 09:05:25+00:00,Xero sync failing.,email,incident,integrations,Pro,33
ND-2025-001483,2025-08-28 11:35:25+00:00,Sync is stuck at 99% for hours.,phone,incident,integrations,Pro,28
ND-2025-000495,2025-03-18 12:25:00+00:00,Please send VAT receipt,email,service_request,billing_payments,Pro,13
ND-2025-002021,2025-11-08 08:50:00+00:00,Please remove access for an ex-employee immediately.,email,service_request,account_admin,Pro,11
ND-2025-000585,2025-03-06 09:45:00+00:00,Data retention query,email,service_request,account_admin,Enterprise,25
ND-2025-001943,2025-10-30 14:10:15+00:00,Unauthorized access detected.,phone,incident,security_privacy,Enterprise,30
ND-2025-001809,2025-10-02 14:10:15+00:00,Interested in upgrading to Enterprise for the SSO features.,webchat,service_request,other,Free,0
ND-2025-000641,2025-04-12 12:45:00+00:00,Partnership opportunity with our consultancy,email,service_request,other,Free,0
ND-2025-000503,2025-03-20 09:05:20+00:00,Query about data retention,email,service_request,account_admin,Enterprise,28
ND-2025-001444,2025-08-14 11:15:45+00:00,Requesting refund for the accidental Pro upgrade.,email,service_request,billing_payments,Standard,6
ND-2025-000479,2025-03-15 10:45:20+00:00,Need logs of who accessed the Financial Polaris Board,email,incident,account_admin,Enterprise,25
ND-2025-001900,2025-10-01 10:20:15+00:00,How do I reset my Google Auth for Orbit ID?,email,service_request,security_privacy,Pro,33
ND-2025-001094,2025-06-29 14:05:10+00:00,Invite emails are going to spam folder,email,incident,access_permissions,Pro,33
ND-2025-000737,2025-04-30 08:45:00+00:00,Auth error on Salesforce connector,webchat,incident,integrations,Pro,24
ND-2025-001090,2025-06-28 11:25:10+00:00,Refund for unused seats please,webchat,service_request,billing_payments,Standard,7
ND-2025-001052,2025-06-17 08:25:30+00:00,Latest update broke the filtering on my main board,in_app,incident,bug,Pro,17
ND-2025-002099,2025-11-30 14:25:05+00:00,How to create a new Polaris board?,in_app,service_request,how_to_training,Standard,4
ND-2025-000425,2025-03-04 12:30:22+00:00,Urgently need VAT invoice for tax return,email,service_request,billing_payments,Pro,11
ND-2025-002153,2025-11-29 13:55:45+00:00,OAuth issue.,email,incident,integrations,Enterprise,24
ND-2025-001609,2025-09-02 11:50:33+00:00,Need to remove a user from our organization settings,webchat,service_request,account_admin,Standard,1
ND-2025-001470,2025-08-23 13:10:15+00:00,Received a dunning email but we paid yesterday.,email,service_request,billing_payments,Standard,8
ND-2025-001208,2025-07-02 14:20:22+00:00,Webhook failure notifications are spamming my inbox.,in_app,incident,integrations,Pro,22
ND-2025-002051,2025-11-17 09:05:40+00:00,Is this the pizza place?,email,service_request,other,Free,0
ND-2025-001233,2025-07-09 10:45:10+00:00,Need to change the email for billing notifications.,email,service_request,account_admin,Free,2
ND-2025-001406,2025-08-01 16:10:05+00:00,Need to remove a user who left the company last week.,webchat,service_request,account_admin,Standard,15
ND-2025-002054,2025-11-17 16:30:55+00:00,Add new finance manager.,email,service_request,account_admin,Standard,3
ND-2025-001713,2025-09-29 08:30:25+00:00,Timezone on Polaris Board is confusing my team,email,service_request,data_reporting,Pro,23
ND-2025-002093,2025-11-28 15:45:30+00:00,Delete user.,email,service_request,account_admin,Standard,15
ND-2025-001101,2025-06-07 09:35:25+00:00,Chrome extension crashing the browser,email,incident,bug,Free,5
ND-2025-000033,2025-01-12 09:15:00+00:00,Docs are unclear about API rate limits,email,service_request,how_to_training,Pro,3
ND-2025-000922,2025-05-24 10:35:20+00:00,Dashboard stuck loading.,email,incident,performance_outage,Enterprise,21
ND-2025-001711,2025-09-28 12:40:35+00:00,Widget title not saving,webchat,service_request,data_reporting,Standard,14
ND-2025-000677,2025-04-24 08:45:00+00:00,Remove user david.j from the account,email,service_request,account_admin,Standard,7
ND-2025-002285,2025-12-11 15:15:10+00:00,VAT receipt for Dec.,email,service_request,billing_payments,Standard,5
ND-2025-001326,2025-07-06 15:30:00+00:00,Reset password for Orbit ID please.,webchat,service_request,access_permissions,Free,5
ND-2025-001237,2025-07-10 10:10:50+00:00,Link to documentation gives a 404 error.,in_app,incident,bug,Free,4
ND-2025-002076,2025-11-24 08:55:10+00:00,Query about data retention periods.,email,service_request,account_admin,Pro,2
ND-2025-001842,2025-10-13 10:15:33+00:00,Pricing for 50 seats?,email,service_request,other,Free,0
ND-2025-001245,2025-07-12 11:15:30+00:00,Need help configuring Okta SSO for Orbit ID.,email,service_request,access_permissions,Pro,12
ND-2025-001464,2025-08-21 13:20:50+00:00,Query about subscription renewal date.,webchat,service_request,billing_payments,Standard,5
ND-2025-001432,2025-08-10 09:45:30+00:00,Docs on API rate limits are confusing.,in_app,service_request,how_to_training,Standard,2
ND-2025-001231,2025-07-08 14:10:55+00:00,Webhooks aren't firing for new invoices.,email,incident,integrations,Standard,9
ND-2025-001648,2025-09-11 10:10:40+00:00,Want to downgrade from Pro to Standard,webchat,service_request,billing_payments,Pro,12
ND-2025-001452,2025-08-17 10:50:55+00:00,Update credit card info failing.,in_app,service_request,billing_payments,Standard,15
ND-2025-000158,2025-01-09 13:20:00+00:00,Everything is moving in slow motion,phone,incident,performance_outage,Enterprise,22
ND-2025-001847,2025-10-15 08:40:22+00:00,Resend invite please.,in_app,service_request,access_permissions,Standard,8
ND-2025-000476,2025-03-14 13:50:05+00:00,VAT invoice please,email,service_request,billing_payments,Pro,22
ND-2025-002064,2025-11-20 10:15:40+00:00,Getting random errors when saving widgets.,in_app,incident,performance_outage,Pro,17
ND-2025-000632,2025-04-09 14:05:00+00:00,Getting random 500 errors when saving Polaris board,webchat,incident,performance_outage,Pro,20
ND-2025-000898,2025-05-19 10:40:20+00:00,Best way to use the new filters?,email,service_request,how_to_training,Pro,14
ND-2025-001898,2025-10-31 11:35:30+00:00,Deleting account - please confirm data wipe.,email,service_request,security_privacy,Standard,9
ND-2025-002286,2025-12-12 08:40:33+00:00,Cancellation request.,email,service_request,account_admin,Standard,8
ND-2025-000665,2025-04-21 09:00:00+00:00,Northstar is completely down 503 error,email,incident,performance_outage,Enterprise,60
ND-2025-001891,2025-10-29 09:00:50+00:00,Invite pending for 3 days.,in_app,service_request,access_permissions,Standard,3
ND-2025-001295,2025-07-25 10:15:15+00:00,App crashes when I try to export a report.,webchat,incident,bug,Standard,14
ND-2025-002048,2025-11-16 08:55:00+00:00,Database sync is very slow today.,email,incident,performance_outage,Pro,23
ND-2025-000714,2025-04-08 12:30:00+00:00,Configure Shopify connector help,email,service_request,how_to_training,Standard,2
ND-2025-000694,2025-04-28 15:00:00+00:00,Forgot password reset link not arriving,webchat,service_request,access_permissions,Standard,1
ND-2025-002214,2025-12-07 16:55:05+00:00,The settings menu is misaligned in Chrome.,webchat,incident,bug,Standard,8
ND-2025-001335,2025-07-15 08:30:00+00:00,Xero API down again.,email,incident,integrations,Pro,36
ND-2025-002204,2025-12-03 14:10:18+00:00,Orbit ID is down completely for our London office.,phone,incident,performance_outage,Enterprise,60
ND-2025-000504,2025-03-20 10:40:45+00:00,Invoice amount is wrong,email,incident,billing_payments,Pro,11
ND-2025-002023,2025-11-09 14:05:55+00:00,Can I get a VAT receipt for the last payment?,email,service_request,billing_payments,Standard,4
ND-2025-000590,2025-03-07 11:40:05+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,13
ND-2025-000813,2025-05-02 10:00:00+00:00,Text overlapping on the billing page.,email,incident,bug,Free,7
ND-2025-001345,2025-07-25 10:10:00+00:00,Update billing contact.,email,service_request,account_admin,Free,3
ND-2025-000404,2025-03-01 11:45:33+00:00,Where do I download the VAT invoice for my records?,in_app,service_request,billing_payments,Pro,18
ND-2025-001493,2025-08-01 15:00:00+00:00,The font looks weird.,email,incident,bug,Standard,12
ND-2025-001928,2025-10-19 08:40:50+00:00,ignore,in_app,service_request,other,Free,2
ND-2025-001217,2025-07-04 11:40:20+00:00,Locked out of Orbit ID can you reset?,webchat,service_request,access_permissions,Free,3
ND-2025-001877,2025-10-24 14:45:18+00:00,Security Questionnaire for renewal.,email,service_request,security_privacy,Enterprise,45
ND-2025-001718,2025-09-30 10:50:30+00:00,Clarification on the formula syntax in docs,webchat,service_request,how_to_training,Pro,6
ND-2025-001757,2025-09-13 10:35:10+00:00,Data gap in Polaris report for Q2,email,service_request,data_reporting,Enterprise,31
ND-2025-002279,2025-12-09 12:20:33+00:00,Stop sending me marketing emails.,email,service_request,account_admin,Pro,9
ND-2025-001210,2025-07-03 09:00:05+00:00,Xero token expired and won't renew automatically.,webchat,incident,integrations,Pro,15
ND-2025-001720,2025-09-30 14:20:20+00:00,Issues inviting a new user to the account,phone,service_request,access_permissions,Free,4
ND-2025-001008,2025-06-04 08:05:18+00:00,Client requesting deletion of their data under GDPR rules,email,service_request,security_privacy,Standard,22
ND-2025-002121,2025-11-12 15:15:30+00:00,Update settings.,email,service_request,account_admin,Standard,11
ND-2025-001200,2025-07-01 09:15:22+00:00,Xero Connector sync failed completely on our main Polaris Board.,email,incident,integrations,Pro,24
ND-2025-001610,2025-09-02 13:05:44+00:00,Polaris dashboard taking over 30 seconds to load,email,incident,performance_outage,Enterprise,60
ND-2025-000124,2025-01-05 11:50:10+00:00,404 on the help page,webchat,incident,bug,Free,3
ND-2025-001529,2025-08-25 13:50:00+00:00,V2 update caused regression in reports.,email,incident,bug,Pro,30
ND-2025-002062,2025-11-19 16:05:55+00:00,Link to the help centre gives a 404.,webchat,incident,bug,Standard,6
ND-2025-002000,2025-11-01 09:14:22+00:00,Need to add two new users to our Polaris Board please.,email,service_request,account_admin,Standard,14
ND-2025-000706,2025-04-02 09:25:00+00:00,Need audit trail for login events,in_app,service_request,account_admin,Pro,15
ND-2025-000879,2025-05-15 09:55:25+00:00,Slow loading.,email,incident,performance_outage,Standard,13
ND-2025-001038,2025-06-12 14:05:15+00:00,Potential XSS vulnerability found in search bar,in_app,incident,security_privacy,Enterprise,50
ND-2025-001692,2025-09-23 14:45:40+00:00,Hit API rate limit on the Shopify Connector,email,service_request,integrations,Enterprise,41
ND-2025-001863,2025-10-20 11:25:33+00:00,Where do I change the time zone for the whole organisation?,in_app,service_request,account_admin,Standard,6
ND-2025-000053,2025-01-18 11:45:22+00:00,Best practices for structuring data for the connector?,email,service_request,how_to_training,Pro,8
ND-2025-001002,2025-06-02 11:30:10+00:00,Exporting the KPI widget to CSV results in empty file,email,incident,bug,Enterprise,8
ND-2025-002084,2025-11-26 10:15:10+00:00,Steps to reset my dashboard?,webchat,service_request,how_to_training,Free,3
ND-2025-000586,2025-03-06 11:20:25+00:00,Send VAT receipt,email,service_request,billing_payments,Pro,15
ND-2025-001062,2025-06-19 15:30:10+00:00,Screen freezes when I drag a widget to new spot,phone,incident,bug,Standard,10
ND-2025-001133,2025-06-18 09:20:25+00:00,Admin access revoked unexpectedly,email,incident,access_permissions,Enterprise,26
ND-2025-000936,2025-05-27 09:50:10+00:00,Pages not loading fully.,email,incident,performance_outage,Enterprise,28
ND-2025-000651,2025-04-16 11:00:00+00:00,Mobile app crashes on login every time,webchat,incident,bug,Pro,26
ND-2025-000824,2025-05-04 10:30:55+00:00,I've been charged twice for the new seat add-on.,phone,incident,billing_payments,Pro,30
ND-2025-001710,2025-09-28 10:55:10+00:00,Training resources for new staff on Polaris?,email,service_request,how_to_training,Pro,10
ND-2025-001743,2025-09-15 14:35:30+00:00,Weird glitch on the Polaris chart,in_app,incident,bug,Pro,15
ND-2025-002160,2025-11-04 10:40:40+00:00,Bug after update.,email,incident,bug,Standard,15
ND-2025-002140,2025-11-23 08:50:20+00:00,Upgrade to Pro.,webchat,service_request,billing_payments,Standard,6
ND-2025-000804,2025-05-01 10:12:15+00:00,The docs for the new Connector setup don't match what I see on screen.,phone,service_request,how_to_training,Free,8
ND-2025-000853,2025-05-09 11:10:40+00:00,"System is sluggish, barely usable.",phone,incident,performance_outage,Enterprise,28
ND-2025-001306,2025-07-28 11:30:50+00:00,Broken link on the help page.,email,incident,bug,Standard,5
ND-2025-002246,2025-12-17 10:45:55+00:00,Reports timing out for the CEO.,phone,incident,performance_outage,Enterprise,55
ND-2025-001087,2025-06-27 11:10:55+00:00,JSON parsing error from custom API connector,webchat,incident,integrations,Pro,18
ND-2025-000848,2025-05-08 13:40:30+00:00,Where is the 'dark mode' toggle?,webchat,service_request,how_to_training,Standard,5
ND-2025-001683,2025-09-21 11:35:05+00:00,Major lag when switching between Polaris Boards,phone,incident,performance_outage,Enterprise,60
ND-2025-000547,2025-03-28 15:25:40+00:00,Send VAT receipt,email,service_request,billing_payments,Pro,14
ND-2025-000572,2025-03-02 14:10:35+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,13
ND-2025-000919,2025-05-23 11:30:05+00:00,Text is too light.,email,incident,bug,Standard,12
ND-2025-001882,2025-10-26 10:50:44+00:00,Checking who deleted the 'Sales Q3' Polaris Board.,email,service_request,account_admin,Enterprise,40
ND-2025-000507,2025-03-20 15:25:00+00:00,Need VAT invoice,email,service_request,billing_payments,Pro,10
ND-2025-001508,2025-08-16 09:20:00+00:00,CSV download failed network error.,in_app,incident,data_reporting,Pro,12
ND-2025-001913,2025-10-07 11:05:45+00:00,Reset my 2FA please.,in_app,service_request,security_privacy,Pro,15
ND-2025-001102,2025-06-09 16:55:05+00:00,Cannot find the help center link,phone,service_request,how_to_training,Standard,1
ND-2025-001431,2025-08-09 12:30:10+00:00,Filter by Region is not excluding the selected values.,email,service_request,data_reporting,Pro,4
ND-2025-001807,2025-10-02 10:45:50+00:00,Please remove user J.Smith from our organisation immediately.,email,service_request,account_admin,Pro,15
ND-2025-001212,2025-07-03 11:20:15+00:00,Is the Xero Connector down again? Polaris is blank.,phone,incident,integrations,Enterprise,55
ND-2025-001881,2025-10-26 08:40:15+00:00,What permissions does the 'Analyst' role have?,phone,service_request,access_permissions,Standard,12
ND-2025-000465,2025-03-12 12:20:30+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,12
ND-2025-000902,2025-05-20 10:20:00+00:00,Taking a while to load.,email,incident,performance_outage,Pro,11
ND-2025-001932,2025-10-23 11:50:12+00:00,Why MFA?,webchat,service_request,security_privacy,Pro,16
ND-2025-000882,2025-05-16 08:35:40+00:00,Exported PDF is blank.,email,incident,data_reporting,Enterprise,29
ND-2025-001946,2025-10-31 13:45:10+00:00,wrong number,in_app,service_request,other,Free,0
ND-2025-000913,2025-05-22 10:55:35+00:00,How to use the new chart types?,webchat,service_request,how_to_training,Free,6
ND-2025-000185,2025-01-31 10:45:45+00:00,Getting started help,email,service_request,how_to_training,Standard,1
ND-2025-000074,2025-01-25 10:50:45+00:00,Need audit logs for user activity last week,email,service_request,account_admin,Pro,13
ND-2025-000109,2025-01-19 13:00:25+00:00,configure widget,in_app,service_request,how_to_training,Free,2
ND-2025-000113,2025-01-23 08:50:45+00:00,My card was declined but I have funds,phone,incident,billing_payments,Pro,15
ND-2025-001312,2025-07-29 16:00:20+00:00,Mapping incorrect on the new connector.,email,incident,integrations,Standard,12
ND-2025-000134,2025-01-15 13:40:00+00:00,Docs on JSON formatting are confusing,email,service_request,how_to_training,Standard,3
ND-2025-000087,2025-01-29 13:15:55+00:00,Setting up the account,webchat,service_request,how_to_training,Standard,1
ND-2025-000560,2025-03-31 12:10:05+00:00,VAT receipt please,email,service_request,billing_payments,Pro,17
ND-2025-000509,2025-03-21 10:35:50+00:00,Delete user from account,email,service_request,account_admin,Standard,8
ND-2025-000808,2025-05-01 11:45:55+00:00,Is there a video tutorial for the new v2.4 dashboard layout?,email,service_request,how_to_training,Standard,1
ND-2025-001660,2025-09-15 10:35:15+00:00,Troubleshooting steps for connector sync issues?,webchat,service_request,how_to_training,Standard,9
ND-2025-000062,2025-01-21 10:40:45+00:00,Why does the widget take 10 mins to refresh?,in_app,service_request,data_reporting,Pro,8
ND-2025-000528,2025-03-25 09:00:45+00:00,Mobile app not syncing,email,incident,bug,Standard,9
ND-2025-000667,2025-04-21 14:30:00+00:00,Typos in the new settings menu,email,incident,bug,Pro,15
ND-2025-001862,2025-10-20 09:00:05+00:00,Need assistance mapping SAML attributes for Google Workspace.,email,service_request,access_permissions,Enterprise,35
ND-2025-001421,2025-08-06 11:30:25+00:00,Admin account locked out suspicious activity warning.,phone,incident,access_permissions,Enterprise,50
ND-2025-000148,2025-01-29 11:45:10+00:00,Recommendation for sales dashboard layout?,email,service_request,how_to_training,Pro,8
ND-2025-002316,2025-12-09 14:10:55+00:00,Screen freezes when resizing widget.,in_app,incident,bug,Standard,6
ND-2025-002058,2025-11-18 15:40:30+00:00,Best practices for dashboard layout?,email,service_request,how_to_training,Standard,22
ND-2025-001211,2025-07-03 09:45:30+00:00,Invoice for this month has the wrong VAT amount.,email,incident,billing_payments,Standard,40
ND-2025-000541,2025-03-27 13:55:10+00:00,Help link goes nowhere,email,incident,bug,Standard,7
ND-2025-002156,2025-11-30 15:20:00+00:00,System slow.,in_app,incident,performance_outage,Pro,29
ND-2025-000136,2025-01-17 11:20:10+00:00,Charts broken after yesterday's update,email,incident,bug,Pro,14
ND-2025-001827,2025-10-07 15:05:18+00:00,SEO optimization for your website.,email,incident,other,Free,0
ND-2025-001282,2025-07-22 09:15:50+00:00,Xero Connector failure is a major incident for us.,email,incident,integrations,Enterprise,52
ND-2025-001214,2025-07-03 16:05:55+00:00,Hit the API rate limit on the HubSpot connector.,webchat,incident,integrations,Standard,7
ND-2025-000473,2025-03-14 09:05:50+00:00,Subscription suspended due to payment issue,email,incident,billing_payments,Standard,8
ND-2025-001750,2025-09-29 12:30:50+00:00,Refund for the last month,webchat,service_request,billing_payments,Standard,6
ND-2025-000802,2025-05-01 09:45:00+00:00,Loading the main dashboard takes over 20 seconds since the update.,in_app,incident,performance_outage,Enterprise,36
ND-2025-002110,2025-11-06 09:25:15+00:00,Add user.,email,service_request,account_admin,Standard,9
ND-2025-000010,2025-01-05 09:00:01+00:00,Can you show me an example of a sales pipeline widget?,email,service_request,how_to_training,Free,2
ND-2025-000915,2025-05-23 08:30:25+00:00,GDPR data deletion request.,email,incident,security_privacy,Standard,15
ND-2025-001645,2025-09-10 12:15:35+00:00,Mobile app crashes on launch iOS,webchat,incident,bug,Enterprise,31
ND-2025-000417,2025-03-03 10:30:12+00:00,We cancelled last week but got charged again refund please,email,service_request,billing_payments,Standard,5
ND-2025-000567,2025-03-01 13:15:30+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,12
ND-2025-000415,2025-03-03 09:00:05+00:00,VAT invoice missing for Feb please sort,webchat,service_request,billing_payments,Pro,12
ND-2025-001693,2025-09-24 08:50:05+00:00,Enquiry about Enterprise pricing for Northstar,phone,service_request,other,Free,0
ND-2025-000643,2025-04-13 14:25:00+00:00,System feels sluggish this afternoon,webchat,incident,performance_outage,Enterprise,33
ND-2025-002273,2025-12-07 09:15:30+00:00,Potential vulnerability in login form.,email,incident,security_privacy,Enterprise,42
ND-2025-001286,2025-07-23 08:55:30+00:00,Xero sync down.,email,incident,integrations,Pro,37
ND-2025-000704,2025-04-01 10:15:00+00:00,Best way to group widgets?,email,service_request,how_to_training,Standard,6
ND-2025-000885,2025-05-16 10:45:55+00:00,Docs are unclear about the new filters.,in_app,service_request,how_to_training,Free,4
ND-2025-001134,2025-06-21 11:45:00+00:00,Change my email address,in_app,service_request,account_admin,Standard,18
ND-2025-001234,2025-07-09 13:20:45+00:00,Salesforce OAuth token keeps invalidating.,webchat,incident,integrations,Pro,19
ND-2025-000688,2025-04-27 09:35:00+00:00,Session times out too quickly keeps logging me out,email,incident,security_privacy,Standard,9
ND-2025-002244,2025-12-16 15:40:10+00:00,GDPR deletion request.,email,service_request,account_admin,Free,2
ND-2025-000733,2025-04-27 15:40:00+00:00,System is dragging,webchat,incident,performance_outage,Enterprise,32
ND-2025-000604,2025-04-01 14:10:00+00:00,Our VAT receipt for March doesn't look right on the portal,email,service_request,billing_payments,Pro,48
ND-2025-000104,2025-01-14 09:05:30+00:00,CSV export is corrupt,email,incident,bug,Pro,6
ND-2025-000002,2025-01-02 10:04:11+00:00,Need help setting up widgets on my dashboard,webchat,service_request,how_to_training,Free,1
ND-2025-001082,2025-06-25 16:05:10+00:00,CSV export is formatting dates weirdly,phone,incident,bug,Standard,6
ND-2025-000032,2025-01-11 13:20:20+00:00,Forgot password for Orbit ID,webchat,incident,access_permissions,Standard,4
ND-2025-001043,2025-06-14 09:40:40+00:00,Can you show me examples of good SaaS dashboards,webchat,service_request,how_to_training,Free,3
ND-2025-000177,2025-01-28 08:30:05+00:00,Payment issue need to resolve ASAP,phone,incident,billing_payments,Standard,13
ND-2025-000859,2025-05-11 09:20:20+00:00,Font issue.,email,incident,bug,Free,5
ND-2025-000939,2025-05-28 08:45:25+00:00,Mobile menu stuck.,email,incident,bug,Standard,16
ND-2025-000544,2025-03-28 10:40:25+00:00,Refund for downtime,email,service_request,billing_payments,Standard,4
ND-2025-000561,2025-03-31 13:45:30+00:00,Broken link in footer,email,incident,bug,Standard,5
ND-2025-000607,2025-04-02 11:15:00+00:00,Best way to visualise churn rate on a widget?,webchat,service_request,how_to_training,Standard,3
ND-2025-001636,2025-09-08 12:30:55+00:00,Configuring custom fiscal year on Polaris,webchat,service_request,how_to_training,Standard,4
ND-2025-000072,2025-01-24 14:25:30+00:00,How do I add my first Polaris Board?,webchat,service_request,how_to_training,Standard,1
ND-2025-000703,2025-04-30 15:00:00+00:00,Widgets stuck on loading spinner,webchat,incident,performance_outage,Pro,28
ND-2025-000407,2025-03-01 15:18:29+00:00,Urgent my credit card failed for the Orbit ID renewal,email,incident,billing_payments,Pro,10
ND-2025-001833,2025-10-09 14:15:00+00:00,Users complying about MFA prompts on every login.,email,service_request,security_privacy,Pro,28
ND-2025-001428,2025-08-08 11:40:45+00:00,Getting random 500 errors when saving changes to dashboards.,phone,incident,performance_outage,Enterprise,65
ND-2025-000717,2025-04-11 10:45:00+00:00,GDPR data request,email,incident,security_privacy,Standard,18
ND-2025-001352,2025-07-01 08:00:00+00:00,Xero down.,email,incident,integrations,Pro,34
ND-2025-000478,2025-03-15 09:10:55+00:00,Requesting refund for accidental renewal,email,service_request,billing_payments,Standard,3
ND-2025-000698,2025-04-29 16:10:00+00:00,Video guide for connector setup?,email,service_request,how_to_training,Standard,3
ND-2025-000626,2025-04-08 08:45:00+00:00,Card payment failed but we have funds,email,incident,billing_payments,Pro,8
ND-2025-002056,2025-11-18 10:10:40+00:00,Change company address in settings.,email,service_request,account_admin,Standard,12
ND-2025-000601,2025-04-01 10:05:00+00:00,Xero Connector returning 401 error since this morning,webchat,incident,integrations,Enterprise,32
ND-2025-000664,2025-04-20 13:00:00+00:00,What is the data retention policy for backups?,in_app,service_request,account_admin,Pro,10
ND-2025-000028,2025-01-10 11:15:33+00:00,Is there a video tutorial for the HubSpot connector?,email,service_request,how_to_training,Standard,1
